"Tweet text","Timestamp","Most important word","Polarity","Subjectivity","Retweets","ora","data","important tweets"
"AP VIDEO: Here's the latest on Occupy Wall Street protests, with clashes in Oregon, arrests elsewhere: http://t.co/bfPiJ6as -EF #OWS",1321226640,"ef","0.5","0.9",37,"18:24",,
"Curious how many people have been arrested during the Occupy movement? Running tally of arrests worldwide here http://t.co/2QnwTx6G #OWS",1321227120,"tally","0.2","0.75",15,"18:32",,
"An illegal arrest is an assault and battery. State v. Robinson #OWS #OccupyWallStreet #OccupyPortland #opdx",1321227240,"robinson","-0.5","0.5",19,"18:34",,
"The police have no right to make unlawful arrests #OWS #OccupyWallStreet #OccupyPortland #opdx",1321227480,"unlawful","0.29","0.54",5,"18:38",,
"I'm in tears! PPB is using a backhoe to scoop up the personal belongings of #OPDX #Occupier's!! 1st arrest!! #OWS #OO http://t.co/Q6YDAwBj",1321228140,"backhoe","0.03","0.43",25,"18:49",,
"Police told to arrest innocent people to meet targets - Quota = get those numbers #OWS #NYPD - http://t.co/xj0EWJHt",1321228140,"quota","0.5","0.7",4,"18:49",,
"LIVE VIDEO: Dump truck and heavy machinery at #OccupyPortland park. At least one confirmed arrest. http://t.co/pPZWXgy6 #OO ##OWS #opdx",1321229700,"machinery","-0.04","0.75",12,"19:15",,
"Portland cops probably waiting for DA to advise on legality of potential arrests--not because cops reached enlightenment. Just sayin.. #ows",1321230420,"enlightenment","0.0","1.0",2,"19:27",,
"#OccupyDenver nut jobs storm BlogCon 2011 at least 1 arrest http://t.co/Jydq474d #tcot #tlot #sgp #hhrs #ocra #ows #owsfail",1321230660,"blogcon","-0.5","1.0",11,"19:31",,
"mpapaya - mpapaya http://t.co/XBzvNPJo Police in riot gear, people getting arrested watch LIVE Chant:*We are peaceful people* #OWS #Occupy",1321235100,"mpapaya","0.19","0.5",2,"20:45",,
"Occupy Portland in standoff with police as other cities make arrests http://t.co/Zrr8iUUq via @nationnow #solidarity #OWS",1321236180,"standoff","-0.12","0.38",3,"21:03",,
"#OccupyPortland Protesters told to sit or will be arrested, not sitting. http://t.co/gJ8J3PEi Livestream #OWS",1321236240,"sit","0.0","0.0",2,"21:04",,
"Livestream of battle of Portland, much violence, riot police, more arrests to come, crowd taunting, singing. http://t.co/BFbZBL3o #OWS",1321236480,"taunting","0.5","0.5",25,"21:08",,
"The media and the police are slow to realize it - but you cannot evict an idea. You cannot arrest a mental revolution. #Occupy #OWS",1321240500,"mental","-0.22","0.42",2,"22:15",,
"News reporting two busloads of protesters arrested so far #OPDX #OccupyPortland #OWS",1321243320,"busloads","0.1","1.0",2,"23:02",,
"Reports of an escalating situation at #occupyportland no violence or #occupyarrests yet. Today's total: 44 #oo #ows #occupydenver",1321243500,"escalating","0.0","0.75",10,"23:05",,
"Your right of defense against unlawful arrest. http://t.co/uLctpF7S #Occupy #OWS #OPDX",1321243860,"unlawful","0.29","0.54",2,"23:11",,
"citizens unlawfully arrested have well-established rights to defend themselves /cc @billhaslam #OWS #occupynashville http://t.co/x5XvpZtp",1321244700,"unlawfully","0.0","0.0",3,"23:25",,
"#OccupyPortland Legal Support 503-902-5340 #OWS be #Peaceful don't resist arrest, write # on your arm. #FreeSpeech #OO #PeacefulProtests",1321244940,"peacefulprotests","0.23","0.35",2,"23:29",,
"An #OccupyPortland Protester said approx.13 officers are not wearing badges, numbers or names. More arrested then what #msm reported. #ows",1321246260,"badges","0.5","0.5",3,"23:51",,
"Oh, and hundreds of riot police actually STALKED people who were removed from park and shot and arrested them elsewhere. #occupydenver #ows",1321247160,"stalked","0.0","0.0",26,"00:06","Mon, November 14, 2011",
"UPDATE: We are hearing at least 50 arrests at #OPDX http://t.co/oj5hpk9q #occupy #ows",1321247520,"update","-0.5","1.0",5,"00:12",,
"Just now: police in Chapel Hill, NC, with assault rifles charge and arrest Occupyers, see amazing photo. http://t.co/BFbZBL3o #OWS",1321247820,"occupyers","0.75","1.0",42,"00:17",,
"Take Action: Dismiss all charges against the Brooklyn Bridge arrestees #OWS http://t.co/NWynGFHN",1321248600,"dismiss","0.0","0.0",2,"00:30",,
"#OWS MT @GregMitch: Police in Chapel Hill, NC, with assault rifles charge and arrest Occupyers, see amazing photo. http://t.co/6IV5MdS9",1321249800,"occupyers","0.75","1.0",9,"00:50",,
"#opdx http://t.co/C449Oj8p #ows #occupy arrests about to be made. People in the intersection. Traffic moving through. #disorderlyconduct",1321250160,"disorderlyconduct","0.0","0.0",2,"00:56",,
"Woman: I'm frustrated. I'm from Fla to see #ows last thru the winter. I was arrested last night for this cause. Ive just been .. #ows #nycga",1321250580,"fla","-0.03","0.1",3,"01:03",,
"The woman arrested on last night's #ows march from #LibertyPlaza was robbed of her laptop as she sat in jail. #NYCGA",1321250700,"robbed","-0.03","0.1",5,"01:05",,
"Protesters arrested, challenged as police confront Occupy activists - http://t.co/EE0yjYEI - http://t.co/0TdtIiuh #ows",1321252140,"challenged","0.0","0.0",2,"01:29",,
"I wonder if more than 3,000 Tea Partiers had been arrested there would be more coverage than that many arrests of #OWS demonstrators.",1321255200,"partiers","0.5","0.5",12,"02:20",,
"Reports from the ground at #occupysd being posted to new FB page http://t.co/06xXjBrN #ows #occupyarrests #occupyla #oo #occupyberkeley",1321255500,"occupyberkeley","0.14","0.45",3,"02:25",,
"#OccupyPDX has had over 50 arrests so far tonight! Come out and show these PPD we will not be silenced! #ows #occupyseattle",1321256760,"ppd","0.1","1.0",2,"02:46",,
"Police with assault rifles drawn make arrests at occupied abandoned building in Chapel Hill, NC VIDEO: http://t.co/c8Soc1M6 @occupychc #OWS",1321257000,"nc","0.0","0.0",43,"02:50",,
"#OccupyPDX has had over 50 arrests so far tonight! Come out and show these PPD we will not be silenced! #ows #occupyseattle",1321257120,"ppd","0.1","1.0",2,"02:52",,
"CONFIRMED: 50+ arrests at #OccupyPortland today. At least 13 agencies, 300+ officers assist.. http://t.co/20HKsoj1 #OO #OWS #opdx #OccupyPDX",1321257420,"assist","-0.05","1.0",46,"02:57",,
"Those arrested earlier who returned to #OccupyPDX want to keep it going but now have no sleeping bags, possessions etc. #OWS",1321258500,"returned","0.0","0.5",3,"03:15",,
"Journalist covering Chapel Hill protestors getting arrested is forced to ground, handcuffed: http://t.co/AfvOcsNl #OWS",1321258740,"handcuffed","0.0","0.0",4,"03:19",,
"50 arrests @ #OccupyPortland, 2 parks cleared. Occupiers now take Pioneer Sq dwntwn http://t.co/L0SgPeb1 #ows #winning",1321259520,"dwntwn","0.5","0.75",11,"03:32",,
"Including today's 44 #occupyarrests global total: 3702 @occupywallstnyc @thenation @MotherJones #ows #oo #OPdx @blogdiva @allisonkilkenny",1321259760,"occupyarrests","0.0","0.38",6,"03:36",,
"More protestors risking #arrest at #occupyalbany in Lafayette Park. #solidarity #ows #occupytogether #occupy",1321261020,"risking","0.5","0.5",3,"03:57",,
"Is anyone counting how many people have been arrested so far in the US protests? It must be over 3000 now? Any guesses? #OWS #OccupyPortland",1321261380,"guesses","0.3","0.75",5,"04:03",,
"First-person account of student journalist @joshabla's handcuffing at today's Occupy Chapel Hill arrests: http://t.co/sJIYAOBc #OWS",1321262520,"handcuffing","0.0","0.0",3,"04:22",,
"BREAKING: 25 #OccupyAlbany protesters arrested on Sat. will not be prosecuted, according to DA.. http://t.co/gsXUaOkR @TimesUnion #OO #OWS",1321263960,"prosecuted","0.0","0.0",65,"04:46",,
"Reports of 13 #OccupyAlbany arrests moments ago. Interestingly, DA plans to drop charges from Sat. arrests.. http://t.co/gsXUaOkR #OO #OWS",1321264260,"interestingly","0.0","0.0",17,"04:51",,
"#OccupyWall Street / #Occutard arrests now at 3,658 http://t.co/ocf1wGMB #tcot #tlot #sgp #hhrs #ocra #ows #licecheck",1321264860,"licecheck","0.0","0.0",6,"05:01",,
"#OWS #Occupywallst Protestors have right to resist 'false arrest' ..and can sue for same! See New blog of CITES http://t.co/IY54W3az",1321265280,"cites","0.14","0.37",2,"05:08",,
"Two more reporters arrested at #occupy protests. This time assault rifles w/ live ammunition were pointed at them. http://t.co/AQaNQ8Ic #OWS",1321265280,"ammunition","0.32","0.5",60,"05:08",,
".@TickedOffDem The GOP steering the country to hell for ulterior motives is #TREASON and in a just world we would see some arrests. #ows #p2",1321267980,"steering","0.0","0.0",3,"05:53",,
"Portland police arrest more than 50 protesters as Occupy camps cleared http://t.co/BiTspAxA #occupy #ows #occupyportland",1321273440,"camps","0.5","0.5",4,"07:24",,
"Why is it that when Penn State riots there are no arrests, yet when peaceful protesters are hospitalised by the police? #OWS #Occupy #OTMP",1321275360,"hospitalised","0.25","0.5",2,"07:56",,
"Why is it that when Penn State riots there are no arrests, yet when peaceful protesters are hospitalised by the police? #OWS #Occupy #OTMP",1321275360,"hospitalised","0.25","0.5",2,"07:56",,
"#ows #occupyoakland I hope that a lot of people get arrested or killed and also raped at #occupy tonight !",1321283760,"raped","0.0","0.0",2,"10:16",,
"#OccupyOakland prepare for 800-1000 cops/LRAD,teargas,et al,mass arrests ~ Watch live at http://t.co/RLM8i2jp #OO #ows #policestate #USDOR",1321284600,"prepare","0.14","0.5",7,"10:30",,
"Legal phone #s being shared in prep for arrests. #occupyoakland #ows http://t.co/59zgrtYG",1321285860,"prep","0.2","0.2",4,"10:51",,
"Interfaith tent. About 10 #ows protesters here. They plan on peacefully resisting and are willing to be arrested. #oo http://t.co/OQ5J98Lb",1321285920,"resisting","0.25","0.75",3,"10:52",,
"US authorities step up nationwide crackdown on Occupy protests http://t.co/YDz79ZgA #occupyarrests #ows #occupynashville #occupyfresno #p2",1321288020,"occupyfresno","0.0","0.0",12,"11:27",,
"Barricades 12/jefferson. . If you're arrested, a truck is waiting or you on 13/jefferson #oo #ows #opd #staysafe",1321290960,"staysafe","0.0","0.0",8,"12:16",,
